Sukunimi,Yhteensä
Lötjönen,741
Poikela,740
Torniainen,740
Rastas,738
Visuri,738
Fagerholm,735
Finnilä,735
Jokitalo,735
Pekkola,734
Särkelä,734
Hakamäki,732
Valjakka,730
Olin,729
Juopperi,728
Rainio,728
Grönqvist,727
Korkeamäki,727
Lindstedt,727
Nyqvist,727
Pekonen,726
Roine,726
Tapaninen,725
Julin,724
Mehtonen,724
Vesalainen,724
Dahlström,723
Kvist,721
Valta,721
Luhtala,720
Koskimäki,719
Kostamo,719
Äikäs,719
Eerikäinen,718
Fagerlund,718
Muikku,718
Myöhänen,718
Kantanen,717
Sievänen,717
Vehmas,716
Rasi,715
Malmström,714
Kiljunen,713
Abdi,712
Engblom,711
Långström,711
Peippo,711
Österman,711
Koivistoinen,710
Kupari,710
Muukkonen,710
Pajala,710
Kiviharju,708
Grönfors,707
Paju,705
Kuutti,704
Kaskinen,703
Lumme,703
Issakainen,702
Mantila,702
Vilenius,702
Willman,702
Jormanainen,700
Laurén,700
Hussein,699
Leminen,699
Niittymäki,699
Hautaniemi,698
Lipsanen,698
Raita,697
Korte,696
Piiparinen,696
Saarikko,696
Hyrkäs,694
Levänen,692
Löppönen,692
Sipiläinen,692
Teräväinen,692
Sundman,690
Takanen,690
Törrönen,690
Forsblom,689
Poikolainen,689
Sopanen,689
Pihlajaniemi,688
Kymäläinen,686
Falck,684
Roth,684
Vilkman,684
Litmanen,683
Saarimaa,683
Kuula,681
Luotonen,681
Sihvola,681
Mustajärvi,680
Smolander,680
Viinamäki,680
Vuoristo,680
Ikola,679
Korva,679
Luttinen,679
Valkeapää,679
Asp,678
Talja,678
Kylliäinen,677
Puisto,676
Pääkkö,676
Sepponen,676
Boström,675
Haaranen,675
Nylander,675
Rämä,675
Konttila,674
Kilponen,672
Metsola,670
Kuha,669
Tainio,669
Tiittanen,669
Borg,668
Hagström,668
Hartikka,668
Turkia,668
Multanen,667
Englund,664
Hautanen,663
Lajunen,663
Turkki,663
Lehtiniemi,662
Nupponen,662
Tammelin,662
Uski,661
Juola,660
Nurkkala,660
Björn,659
Joki,658
Pelttari,658
Posti,658
Puro,658
Karonen,657
Santanen,657
Sääskilahti,657
Elonen,656
Jokiniemi,656
Mankinen,655
Tuuri,655
Alastalo,654
Jeskanen,654
Kolu,653
Sandelin,653
Lundell,652
Tirronen,652
Hyväri,651
Tonteri,651
Töyrylä,651
Gröndahl,649
Martiskainen,649
Hannuksela,648
Sjölund,648
Väre,648
Häyrynen,647
