Etunimi,Lukumäärä
Dolores,156
Ihanelma,156
Ilana,156
Irinja,156
Mia-Maria,156
Raija-Leena,156
Anna-Elina,155
Anna-Stina,155
Kaisa-Maria,155
Katrine,155
Pulmu,155
Tilma,155
Cilla,154
Enja,154
Mirette,154
Aino-Kaisa,153
Enne,153
Khadija,153
Milla-Maria,153
Pälvi,153
Christiina,152
Evgenia,152
Laura-Maria,152
Lulu,152
Natalja,152
Anastasiia,151
Ann-Maj,151
Antoinette,151
Hong,151
Lynn,151
Marielle,151
Moonika,151
Rafaela,151
Salla-Maria,151
Sanna-Liisa,151
Dagny,150
Marikka,150
Merika,150
Daisy,149
Danielle,149
Elice,149
Ewa,149
Nadine,149
Renja,149
Yusuf,149
Zara,149
Iréne,148
Janiina,148
Suzanne,148
Tiia-Mari,148
Emeliina,147
Marttiina,147
Oxana,147
Anna-Reetta,146
Jannina,146
Jenni-Maria,146
Jennina,146
Mae,146
Sera,146
Alex,145
Aline,145
Mathilde,145
Mianna,145
Pirjo-Leena,145
Sahra,145
Therése,145
Albertiina,144
Dora,144
Linea,144
Adella,143
Asma,143
Engla,143
Line,143
Tiina-Maija,143
Dorothea,142
Florence,142
Inge,142
Marjaliisa,142
Saara-Maria,142
Sarina,142
Alvina,141
Hanne-Mari,141
Liisa-Maria,141
Lucy,141
Ona,141
Peppina,141
Tarja-Liisa,141
Annelie,140
Chloe,140
Paola,140
Anna-Kristiina,139
Arianna,139
Leena-Kaisa,139
Nina-Maria,139
Rania,139
Eva-Liisa,138
Irena,138
Tuike,138
Viona,138
Anna-Emilia,137
Esme,137
Iida-Sofia,137
Juhantytär,137
Madelene,137
Vendela,136
Marlena,135
Oosa,135
Ulla-Maria,135
Vella,135
Violet,135
Zoe,135
Alisia,134
Elliina,134
Kate,134
Nonna,134
Osman,134
Violetta,134
Alinda,133
Claire,133
Lykke,133
Milea,133
Nona,133
Alessa,132
Dorrit,132
Fransiina,132
Minessa,132
Timontytär,132
Carolin,131
Dalia,131
Melek,131
Minella,131
Ragni,131
Renata,131
Sharon,131
Annariina,130
Hafsa,130
Hilkka-Liisa,130
Isra,130
Kuura,130
Mari-Ann,130
Marja-Sisko,130
Suometar,130
Anna-Marja,129
Emiilia,129
Lumikukka,129
Mareena,129
Mari-Anna,129
Rhea,129
Riikka-Liisa,129
Said,129
Ainu,128
Etta,128
Lauha,128
Marjetta,128
Pirre,128
Suvi-Maria,128
Beea,127
Nanette,127
Odette,127
Priscilla,127
Sira,127
Thao,127
Elinor,126
Emilja,126
Hildur,126
Lana,126
Milli,126
Satu-Maria,126
Tiuku,126
Vanilla,126
Eeva-Marja,125
Gun-Maj,125
Hilde,125
Inge-Maj,125
Kitty,125
Lianna,125
Linda-Maria,125
Majvor,125
Vilmiina,125
Aya,124
Ea,124
Maarita,124
Sumaya,124
Tiina-Maria,124
Vilda,124
Ann-Lis,123
Aurinko,123
Maud,123
Melody,123
Mirikli,123
Sofiia,123
Adanna,122
Charlott,122
