Etunimi,Lukumäärä
Sharif,80
Thure,80
Ulrik,80
Velmeri,80
Darin,79
Göte,79
Nikolaj,79
Paulo,79
Simonpoika,79
Solomon,79
Tuomonpoika,79
Adan,78
Amer,78
Benedict,78
Danny,78
Fahad,78
Hiskias,78
Jan-Markus,78
Jan-Ole,78
Juho-Antti,78
Nam,78
Päivö,78
Salih,78
Sheikh,78
Stefanus,78
Stepan,78
Venne,78
Vili-Petteri,78
Habib,77
Jyri-Pekka,77
Keith,77
Markko,77
Mici,77
Nathanael,77
Per-Ole,77
Seyed,77
Valte,77
Viima,77
Antti-Ville,76
Ate,76
Baran,76
Darius,76
Miihkali,76
Misael,76
Owen,76
Sabah,76
Toninpoika,76
Velu,76
Feeliks,75
Karolus,75
Lenna,75
Manfred,75
